County,Crop,Year,AW (acre-ft/acre),Total Land (Irrigated Crop Area in acres),AW,,,,,,,,,,,,,,,,,,
Modoc,Tomato Fresh,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Modoc,Cucurbits,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Modoc,Onions & Garlic,1998,2.30,3100,7124.875918,,,,,,,,,,,,,,,,,,
Modoc,Potatoes,1998,1.64,5400,8876.712329,,,,,,,,,,,,,,,,,,
Modoc,Truck Crops,1998,1.35,900,1216.216216,,,,,,,,,,,,,,,,,,
Modoc, Almonds & Pistachios,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Modoc, Other Deciduous,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Modoc, Citrus & Subtropical,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Modoc,Vineyard,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Grain,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Rice,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Sugar Beets,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Corn,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Dry Beans,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Safflower,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Other Field,1998,2.00,120,240,,,,,,,,,,,,,,,,,,
Mono ,Alfalfa,1998,4.36,10020,43709.26108,,,,,,,,,,,,,,,,,,
Mono ,Pasture,1998,4.31,30200,130247.7733,,,,,,,,,,,,,,,,,,
Mono ,Tomato Processing,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Tomato Fresh,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Cucurbits,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Onions & Garlic,1998,3.50,390,1365,,,,,,,,,,,,,,,,,,
Mono ,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Truck Crops,1998,2.74,920,2522.580645,,,,,,,,,,,,,,,,,,
Mono , Almonds & Pistachios,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono , Other Deciduous,1998,1.79,20,35.71428571,,,,,,,,,,,,,,,,,,
Mono , Citrus & Subtropical,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mono ,Vineyard,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Monterey,Grain,1998,0.00,12100,0,,,,,,,,,,,,,,,,,,
Monterey,Rice,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Monterey,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
